Year,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,States,Counties
2020,NC,North Carolina,Forsyth,37067,37067002001,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.9,,,5.4,6.4,2367,POINT (-80.23531428 36.0563685),37067002001,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,82.6,,,80.1,84.8,4830,POINT (-80.26968853 36.05616365),37067003701,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,17.3,,,15.6,19.1,2692,POINT (-80.08847512 36.05925237),37067003312,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002100,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.4,,,32.2,34.6,2151,POINT (-80.28521372 36.07447023),37067002100,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,18.6,,,17,20.1,3099,POINT (-80.0991692 36.2316984),37067003106,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004015,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.9,,,11.8,14,3296,POINT (-80.36811626 35.99743566),37067004015,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002601,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,10.3,,,9.4,11.3,2481,POINT (-80.29653307 36.12099139),37067002601,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002804,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.4,,,3.1,3.7,4150,POINT (-80.31211305 36.18441106),37067002804,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002502,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,7.3,,,6.6,8.2,2770,POINT (-80.29912085 36.09940446),37067002502,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004102,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,29.7,,,28.1,31.2,3256,POINT (-80.41655399 36.17131266),37067004102,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
